frame.time_epoch	frame.protocols	frame.len	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.port	tcp.len	tcp.seq	tcp.ack	tcp.flags.ack	tcp.flags.syn
1596425444.027497074	eth:ethertype:ip:tcp	86	192.168.0.158	172.217.7.13	36524	443	36524	0	1251	7051	1	0
1596425444.027652751	eth:ethertype:ip:tcp:ssl	1484	172.217.7.13	192.168.0.158	443	36524	443	1418	17834	1251	1	0
1596425444.027659676	eth:ethertype:ip:tcp	86	192.168.0.158	172.217.7.13	36524	443	36524	0	1251	7051	1	0
1596425444.028996543	eth:ethertype:ip:tcp:ssl	1484	172.217.7.13	192.168.0.158	443	36524	443	1418	19252	1251	1	0
1596425444.029003086	eth:ethertype:ip:tcp	86	192.168.0.158	172.217.7.13	36524	443	36524	0	1251	7051	1	0
1596425444.029241318	eth:ethertype:ip:tcp:ssl	341	172.217.7.13	192.168.0.158	443	36524	443	275	20670	1251	1	0
1596425444.029247849	eth:ethertype:ip:tcp	86	192.168.0.158	172.217.7.13	36524	443	36524	0	1251	7051	1	0
1596425444.029925551	eth:ethertype:ip:tcp:ssl	1484	172.217.7.13	192.168.0.158	443	36524	443	1418	20945	1251	1	0
1596425444.029932196	eth:ethertype:ip:tcp	86	192.168.0.158	172.217.7.13	36524	443	36524	0	1251	7051	1	0
1596425444.030217771	eth:ethertype:ip:tcp:ssl	1484	172.217.7.13	192.168.0.158	443	36524	443	1418	23781	1251	1	0
1596425444.030223265	eth:ethertype:ip:tcp	94	192.168.0.158	172.217.7.13	36524	443	36524	0	1251	7051	1	0
1596425444.030462210	eth:ethertype:ip:tcp:ssl	228	172.217.7.13	192.168.0.158	443	36524	443	162	25199	1251	1	0
1596425444.030467845	eth:ethertype:ip:tcp	94	192.168.0.158	172.217.7.13	36524	443	36524	0	1251	7051	1	0
1596425444.033600746	eth:ethertype:ip:tcp:ssl	1484	172.217.7.13	192.168.0.158	443	36524	443	1418	25361	1251	1	0
1596425444.033617440	eth:ethertype:ip:tcp	94	192.168.0.158	172.217.7.13	36524	443	36524	0	1251	7051	1	0
1596425444.033935904	eth:ethertype:ip:tcp:ssl	1484	172.217.7.13	192.168.0.158	443	36524	443	1418	26779	1251	1	0
1596425444.033944705	eth:ethertype:ip:tcp	94	192.168.0.158	172.217.7.13	36524	443	36524	0	1251	7051	1	0
1596425444.034225050	eth:ethertype:ip:tcp:ssl	1299	172.217.7.13	192.168.0.158	443	36524	443	1233	28197	1251	1	0
1596425444.034232238	eth:ethertype:ip:tcp	94	192.168.0.158	172.217.7.13	36524	443	36524	0	1251	7051	1	0
1596425444.050799412	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	2909	3461	1	0
1596425444.051072867	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	3461	3145	1	0
1596425444.051792728	eth:ethertype:ip:tcp:ssl	1484	172.217.7.13	192.168.0.158	443	36524	443	1418	7051	1251	1	0
1596425444.051807474	eth:ethertype:ip:tcp	86	192.168.0.158	172.217.7.13	36524	443	36524	0	1251	14888	1	0
1596425444.053490971	eth:ethertype:ip:tcp	1484	172.217.7.13	192.168.0.158	443	36524	443	1418	14888	1251	1	0
1596425444.053503163	eth:ethertype:ip:tcp	86	192.168.0.158	172.217.7.13	36524	443	36524	0	1251	16306	1	0
1596425444.053785659	eth:ethertype:ip:tcp	1484	172.217.7.13	192.168.0.158	443	36524	443	1418	16306	1251	1	0
1596425444.053797937	eth:ethertype:ip:tcp	78	192.168.0.158	172.217.7.13	36524	443	36524	0	1251	22363	1	0
1596425444.055477526	eth:ethertype:ip:tcp	1484	172.217.7.13	192.168.0.158	443	36524	443	1418	22363	1251	1	0
1596425444.055486500	eth:ethertype:ip:tcp	66	192.168.0.158	172.217.7.13	36524	443	36524	0	1251	29430	1	0
1596425444.080748774	eth:ethertype:ip:tcp:ssl	108	172.217.7.13	192.168.0.158	443	36524	443	42	29430	1251	1	0
1596425444.080765247	eth:ethertype:ip:tcp:ssl	257	172.217.7.13	192.168.0.158	443	36524	443	191	29472	1251	1	0
1596425444.080770911	eth:ethertype:ip:tcp:ssl	105	172.217.7.13	192.168.0.158	443	36524	443	39	29663	1251	1	0
1596425444.080978537	eth:ethertype:ip:tcp	66	192.168.0.158	172.217.7.13	36524	443	36524	0	1251	29702	1	0
1596425444.094730058	eth:ethertype:ip:tcp:ssl	105	192.168.0.158	172.217.7.13	36524	443	36524	39	1251	29702	1	0
1596425444.114615101	eth:ethertype:ip:tcp:ssh	430	192.168.0.1	192.168.0.158	35658	22	35658	364	3461	3145	1	0
1596425444.115356805	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	3145	3825	1	0
1596425444.115625272	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	3825	3221	1	0
1596425444.119024221	eth:ethertype:ip:tcp	66	172.217.7.13	192.168.0.158	443	36524	443	0	29702	1290	1	0
1596425444.255028575	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	3221	3825	1	0
1596425444.255309926	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	3825	3313	1	0
1596425444.300644685	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	3313	3825	1	0
1596425444.300930538	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	3825	3549	1	0
1596425444.325846565	eth:ethertype:ip:tcp:ssh	142	192.168.0.1	192.168.0.158	35658	22	35658	76	3825	3549	1	0
1596425444.367033342	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	3549	3901	1	0
1596425444.372894893	eth:ethertype:ip:tcp:ssh	430	192.168.0.1	192.168.0.158	35658	22	35658	364	3901	3549	1	0
