frame.time_epoch	frame.protocols	frame.len	ip.src	ip.dst	tcp.srcport	tcp.dstport	tcp.port	tcp.len	tcp.seq	tcp.ack	tcp.flags.ack	tcp.flags.syn
1596421499.661614679	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	3249	3605	1	0
1596421499.662410822	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	3249	3605	1	0
1596421499.703571657	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	3605	3325	1	0
1596421500.063261744	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	3325	3605	1	0
1596421500.063632577	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	3605	3417	1	0
1596421500.108254563	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	3417	3605	1	0
1596421500.108558244	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	3605	3653	1	0
1596421500.145826679	eth:ethertype:ip:tcp:ssh	142	192.168.0.1	192.168.0.158	35658	22	35658	76	3605	3653	1	0
1596421500.187054810	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	3653	3681	1	0
1596421500.187397236	eth:ethertype:ip:tcp:ssh	458	192.168.0.1	192.168.0.158	35658	22	35658	392	3681	3653	1	0
1596421500.187416629	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	3653	4073	1	0
1596421500.188225456	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	3653	4073	1	0
1596421500.231592961	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	4073	3729	1	0
1596421500.575403991	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	3729	4073	1	0
1596421500.575761980	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	4073	3821	1	0
1596421500.620225564	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	3821	4073	1	0
1596421500.620506107	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	4073	4057	1	0
1596421500.640381034	eth:ethertype:ip:tcp:ssh	142	192.168.0.1	192.168.0.158	35658	22	35658	76	4073	4057	1	0
1596421500.683060612	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	4057	4149	1	0
1596421500.685660076	eth:ethertype:ip:tcp:ssh	422	192.168.0.1	192.168.0.158	35658	22	35658	356	4149	4057	1	0
1596421500.685679866	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	4057	4505	1	0
1596421500.686471730	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	4057	4505	1	0
1596421500.727611808	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	4505	4133	1	0
1596421501.087257940	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	4133	4505	1	0
1596421501.087584455	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	4505	4225	1	0
1596421501.132831659	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	4225	4505	1	0
1596421501.133113716	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	4505	4461	1	0
1596421501.151063194	eth:ethertype:ip:tcp:ssh	142	192.168.0.1	192.168.0.158	35658	22	35658	76	4505	4461	1	0
1596421501.195053449	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	4461	4581	1	0
1596421501.198112801	eth:ethertype:ip:tcp:ssh	422	192.168.0.1	192.168.0.158	35658	22	35658	356	4581	4461	1	0
1596421501.198134146	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	4461	4937	1	0
1596421501.198972430	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	4461	4937	1	0
1596421501.243554222	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	4937	4537	1	0
1596421501.599152860	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	4537	4937	1	0
1596421501.599409493	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	4937	4629	1	0
1596421501.644218807	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	4629	4937	1	0
1596421501.644499868	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	4937	4865	1	0
1596421501.680108420	eth:ethertype:ip:tcp:ssh	142	192.168.0.1	192.168.0.158	35658	22	35658	76	4937	4865	1	0
1596421501.723060157	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	4865	5013	1	0
1596421501.723390362	eth:ethertype:ip:tcp:ssh	422	192.168.0.1	192.168.0.158	35658	22	35658	356	5013	4865	1	0
1596421501.723410206	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	4865	5369	1	0
1596421501.724223732	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	4865	5369	1	0
1596421501.767585137	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	5369	4941	1	0
1596421502.111128444	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	4941	5369	1	0
1596421502.111448888	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	5369	5033	1	0
1596421502.156199136	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	5033	5369	1	0
1596421502.156479783	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	5369	5269	1	0
1596421502.295864094	eth:ethertype:ip:tcp:ssh	462	192.168.0.1	192.168.0.158	35658	22	35658	396	5369	5269	1	0
1596421502.296749406	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	5269	5765	1	0
1596421502.297061737	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	5765	5345	1	0
1596421502.458118007	eth:ethertype:ip:tcp:ssh	118	192.168.0.1	192.168.0.158	35658	22	35658	52	5765	5345	1	0
1596421502.499049282	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	5345	5817	1	0
1596421502.623406101	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	5345	5817	1	0
1596421502.623735472	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	5817	5437	1	0
1596421502.668251761	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	5437	5817	1	0
1596421502.668531975	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	5817	5673	1	0
1596421502.688385561	eth:ethertype:ip:tcp:ssh	142	192.168.0.1	192.168.0.158	35658	22	35658	76	5817	5673	1	0
1596421502.688414845	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	5673	5893	1	0
1596421502.733899601	eth:ethertype:ip:tcp:ssh	422	192.168.0.1	192.168.0.158	35658	22	35658	356	5893	5673	1	0
1596421502.733919061	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	5673	6249	1	0
1596421502.734724321	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	5673	6249	1	0
1596421502.775613033	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	6249	5749	1	0
1596421503.135302628	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	5749	6249	1	0
1596421503.135621973	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	6249	5841	1	0
1596421503.180338757	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	5841	6249	1	0
1596421503.180623607	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	6249	6077	1	0
1596421503.219619893	eth:ethertype:ip:tcp:ssh	142	192.168.0.1	192.168.0.158	35658	22	35658	76	6249	6077	1	0
1596421503.263062260	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	6077	6325	1	0
1596421503.263414549	eth:ethertype:ip:tcp:ssh	422	192.168.0.1	192.168.0.158	35658	22	35658	356	6325	6077	1	0
1596421503.263434706	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	6077	6681	1	0
1596421503.264233352	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	6077	6681	1	0
1596421503.264494245	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	6681	6153	1	0
1596421503.647409924	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	6153	6681	1	0
1596421503.647744489	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	6681	6245	1	0
1596421503.692259875	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	6245	6681	1	0
1596421503.692542919	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	6681	6481	1	0
1596421503.832389656	eth:ethertype:ip:tcp:ssh	462	192.168.0.1	192.168.0.158	35658	22	35658	396	6681	6481	1	0
1596421503.833247514	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	6481	7077	1	0
1596421503.833520001	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	7077	6557	1	0
1596421504.159154324	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	6557	7077	1	0
1596421504.159482202	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	7077	6649	1	0
1596421504.204250974	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	6649	7077	1	0
1596421504.204531681	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	7077	6885	1	0
1596421504.224065922	eth:ethertype:ip:tcp:ssh	142	192.168.0.1	192.168.0.158	35658	22	35658	76	7077	6885	1	0
1596421504.267053278	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	6885	7153	1	0
1596421504.270592192	eth:ethertype:ip:tcp:ssh	422	192.168.0.1	192.168.0.158	35658	22	35658	356	7153	6885	1	0
1596421504.270611536	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	6885	7509	1	0
1596421504.271439976	eth:ethertype:ip:tcp:ssh	142	192.168.0.158	192.168.0.1	22	35658	22	76	6885	7509	1	0
1596421504.315612423	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	7509	6961	1	0
1596421504.671267171	eth:ethertype:ip:tcp:ssh	158	192.168.0.158	192.168.0.1	22	35658	22	92	6961	7509	1	0
1596421504.671604589	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	7509	7053	1	0
1596421504.716101684	eth:ethertype:ip:tcp:ssh	302	192.168.0.158	192.168.0.1	22	35658	22	236	7053	7509	1	0
1596421504.716383188	eth:ethertype:ip:tcp	66	192.168.0.1	192.168.0.158	35658	22	35658	0	7509	7289	1	0
1596421504.751854977	eth:ethertype:ip:tcp:ssh	142	192.168.0.1	192.168.0.158	35658	22	35658	76	7509	7289	1	0
1596421504.795064464	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	7289	7585	1	0
1596421504.795354238	eth:ethertype:ip:tcp:ssh	422	192.168.0.1	192.168.0.158	35658	22	35658	356	7585	7289	1	0
1596421504.795363145	eth:ethertype:ip:tcp	66	192.168.0.158	192.168.0.1	22	35658	22	0	7289	7941	1	0
